Dataset,Lambda,Standard Accuracy,HS Accuracy,Standard AUC,HS AUC
haberman,1,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
haberman,10,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
haberman,25,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
haberman,50,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
haberman,100,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
ionosphere,0,0.7150997150997151,0.7150997150997151,0.769047619,0.769047619
ionosphere,0.1,0.7150997150997151,0.7150997150997151,0.769047619,0.769047619
ionosphere,1,0.7150997150997151,0.7150997150997151,0.769047619,0.769047619
ionosphere,10,0.7150997150997151,0.7150997150997151,0.769047619,0.769047619
ionosphere,25,0.7150997150997151,0.7150997150997151,0.769047619,0.769047619
ionosphere,50,0.7150997150997151,0.7150997150997151,0.769047619,0.769047619
ionosphere,100,0.7150997150997151,0.7150997150997151,0.769047619,0.769047619
diabetes,0,0.6497395833333334,0.6497395833333334,0.499,0.499
diabetes,0.1,0.6497395833333334,0.6497395833333334,0.499,0.499
diabetes,1,0.6497395833333334,0.6510416666666666,0.499,0.5
diabetes,10,0.6497395833333334,0.6510416666666666,0.499,0.5
diabetes,25,0.6497395833333334,0.6510416666666666,0.499,0.5
diabetes,50,0.6497395833333334,0.6510416666666666,0.499,0.5
diabetes,100,0.6497395833333334,0.6510416666666666,0.499,0.5
german,0,0.357,0.357,0.49976190476190474,0.49976190476190474
german,0.1,0.357,0.357,0.49976190476190474,0.49976190476190474
german,1,0.357,0.357,0.49976190476190474,0.49976190476190474
german,10,0.357,0.357,0.49976190476190474,0.49976190476190474
german,25,0.357,0.357,0.49976190476190474,0.49976190476190474
german,50,0.357,0.357,0.49976190476190474,0.49976190476190474
german,100,0.357,0.357,0.49976190476190474,0.49976190476190474
credit_card_clean,0,0.8156666666666667,0.8156666666666667,0.6277310141287827,0.6277310141287827
credit_card_clean,0.1,0.8156666666666667,0.8156666666666667,0.6277310141287827,0.6277310141287827
credit_card_clean,1,0.8156666666666667,0.8149333333333333,0.6277310141287827,0.6276378273803719
credit_card_clean,10,0.8156666666666667,0.8151666666666667,0.6277310141287827,0.627571846
credit_card_clean,25,0.8156666666666667,0.8155333333333333,0.6277310141287827,0.6274296277514471
credit_card_clean,50,0.8156666666666667,0.8155333333333333,0.6277310141287827,0.6274296277514471
credit_card_clean,100,0.8156666666666667,0.8157,0.6277310141287827,0.627105061
haberman,0,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
haberman,0.1,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
haberman,1,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
haberman,10,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
haberman,25,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
haberman,50,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
haberman,100,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
juvenile_clean,0,0.8651098901098901,0.8651098901098901,0.5479801186705924,0.5479801186705924
juvenile_clean,0.1,0.8651098901098901,0.8651098901098901,0.5479801186705924,0.5479801186705924
juvenile_clean,1,0.8651098901098901,0.8653846153846154,0.5479801186705924,0.5481386978015786
juvenile_clean,10,0.8651098901098901,0.865934066,0.5479801186705924,0.5484558560635515
juvenile_clean,25,0.8651098901098901,0.865934066,0.5479801186705924,0.5484558560635515
juvenile_clean,50,0.8651098901098901,0.865934066,0.5479801186705924,0.5484558560635515
juvenile_clean,100,0.8651098901098901,0.865934066,0.5479801186705924,0.5467196262351751
